Category,Resume
Data Science,"PROFILE
Machine Learning Engineer with 6 years building production ML systems. Expert in Python, deep learning frameworks, and MLOps. End-to-end model development from research to deployment.

SKILLS
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Learning, Reinforcement Learning, Transfer Learning
NLP: Text Classification, Named Entity Recognition, Sentiment Analysis, Language Models, BERT, GPT, Transformers
Computer Vision: CNN, Object Detection, Image Segmentation, YOLO, ResNet
Frameworks: PyTorch, TensorFlow, scikit-learn, HuggingFace, FastAI, OpenCV
MLOps: MLflow, DVC, Kubeflow, Docker, Kubernetes, Airflow
Languages: Python, R, SQL
Statistics: Probability, Hypothesis Testing, Bayesian Methods, Regression Analysis

EXPERIENCE
ML Engineer | 6 years years experience
- Fine-tuned large language models (BERT, GPT) for domain-specific NLP tasks
- Built AutoML pipeline reducing model development time by 50%
- Deployed real-time ML models serving 100k predictions per day
- Implemented data preprocessing pipelines using Pandas and NumPy
- Applied ensemble methods (Random Forest, XGBoost, LightGBM) for tabular data
- Built time series forecasting models using LSTM and Prophet
- Created data visualizations and dashboards for stakeholder reporting

EDUCATION
MSc or BSc in Computer Science, Statistics, or Mathematics
Focus: Machine Learning, Artificial Intelligence, Data Analysis"
Data Science,"SUMMARY
Data Scientist with 2 years of experience in machine learning, statistical modeling, and NLP. Proficient in Python, scikit-learn, TensorFlow, and PyTorch. Expertise in deep learning, computer vision, and natural language processing.

TECHNICAL SKILLS
Programming: Python, R, SQL, Scala
ML/DL Libraries: scikit-learn, TensorFlow, PyTorch, Keras, XGBoost, LightGBM, CatBoost
NLP: NLTK, spaCy, HuggingFace Transformers, BERT, GPT, Word2Vec, TF-IDF
Data Tools: Pandas, NumPy, Matplotlib, Seaborn, Plotly, Scipy
Big Data: Apache Spark, Hadoop, Hive, Kafka
Cloud: AWS SageMaker, GCP AI Platform, Azure ML, MLflow
Databases: PostgreSQL, MongoDB, Cassandra, Elasticsearch
Statistics: Hypothesis Testing, Bayesian Statistics, A/B Testing, Time Series

EXPERIENCE
Data Scientist | 2 years years total experience
- Built NLP pipeline for sentiment analysis achieving 94% accuracy using BERT fine-tuning
- Developed recommendation system using collaborative filtering for 2M+ users
- Trained computer vision model for object detection (mAP: 0.89)
- Applied regression, classification, and clustering algorithms for business problems
- Built customer churn prediction model with F1 score of 0.87
- Performed feature engineering, dimensionality reduction (PCA, t-SNE)
- Deployed ML models to production using Docker and REST APIs
- Conducted A/B testing and statistical significance analysis

EDUCATION
MSc Data Science or BSc Statistics/Computer Science
Relevant coursework: Machine Learning, Deep Learning, Statistical Inference, Data Mining, NLP

CERTIFICATIONS
AWS Machine Learning Specialty
Google Professional Data Engineer
Deep Learning Specialization - Coursera"
Data Science,"SUMMARY
Data Scientist with 4 years of experience in machine learning, statistical modeling, and NLP. Proficient in Python, scikit-learn, TensorFlow, and PyTorch. Expertise in deep learning, computer vision, and natural language processing.

TECHNICAL SKILLS
Programming: Python, R, SQL, Scala
ML/DL Libraries: scikit-learn, TensorFlow, PyTorch, Keras, XGBoost, LightGBM, CatBoost
NLP: NLTK, spaCy, HuggingFace Transformers, BERT, GPT, Word2Vec, TF-IDF
Data Tools: Pandas, NumPy, Matplotlib, Seaborn, Plotly, Scipy
Big Data: Apache Spark, Hadoop, Hive, Kafka
Cloud: AWS SageMaker, GCP AI Platform, Azure ML, MLflow
Databases: PostgreSQL, MongoDB, Cassandra, Elasticsearch
Statistics: Hypothesis Testing, Bayesian Statistics, A/B Testing, Time Series

EXPERIENCE
Data Scientist | 4 years years total experience
- Built NLP pipeline for sentiment analysis achieving 94% accuracy using BERT fine-tuning
- Developed recommendation system using collaborative filtering for 2M+ users
- Trained computer vision model for object detection (mAP: 0.89)
- Applied regression, classification, and clustering algorithms for business problems
- Built customer churn prediction model with F1 score of 0.87
- Performed feature engineering, dimensionality reduction (PCA, t-SNE)
- Deployed ML models to production using Docker and REST APIs
- Conducted A/B testing and statistical significance analysis

EDUCATION
MSc Data Science or BSc Statistics/Computer Science
Relevant coursework: Machine Learning, Deep Learning, Statistical Inference, Data Mining, NLP

CERTIFICATIONS
AWS Machine Learning Specialty
Google Professional Data Engineer
Deep Learning Specialization - Coursera"
Data Science,"PROFILE
Machine Learning Engineer with 2 years building production ML systems. Expert in Python, deep learning frameworks, and MLOps. End-to-end model development from research to deployment.

SKILLS
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Learning, Reinforcement Learning, Transfer Learning
NLP: Text Classification, Named Entity Recognition, Sentiment Analysis, Language Models, BERT, GPT, Transformers
Computer Vision: CNN, Object Detection, Image Segmentation, YOLO, ResNet
Frameworks: PyTorch, TensorFlow, scikit-learn, HuggingFace, FastAI, OpenCV
MLOps: MLflow, DVC, Kubeflow, Docker, Kubernetes, Airflow
Languages: Python, R, SQL
Statistics: Probability, Hypothesis Testing, Bayesian Methods, Regression Analysis

EXPERIENCE
ML Engineer | 2 years years experience
- Fine-tuned large language models (BERT, GPT) for domain-specific NLP tasks
- Built AutoML pipeline reducing model development time by 50%
- Deployed real-time ML models serving 100k predictions per day
- Implemented data preprocessing pipelines using Pandas and NumPy
- Applied ensemble methods (Random Forest, XGBoost, LightGBM) for tabular data
- Built time series forecasting models using LSTM and Prophet
- Created data visualizations and dashboards for stakeholder reporting

EDUCATION
MSc or BSc in Computer Science, Statistics, or Mathematics
Focus: Machine Learning, Artificial Intelligence, Data Analysis"
Data Science,"SUMMARY
Data Scientist with 2 years of experience in machine learning, statistical modeling, and NLP. Proficient in Python, scikit-learn, TensorFlow, and PyTorch. Expertise in deep learning, computer vision, and natural language processing.

TECHNICAL SKILLS
Programming: Python, R, SQL, Scala
ML/DL Libraries: scikit-learn, TensorFlow, PyTorch, Keras, XGBoost, LightGBM, CatBoost
NLP: NLTK, spaCy, HuggingFace Transformers, BERT, GPT, Word2Vec, TF-IDF
Data Tools: Pandas, NumPy, Matplotlib, Seaborn, Plotly, Scipy
Big Data: Apache Spark, Hadoop, Hive, Kafka
Cloud: AWS SageMaker, GCP AI Platform, Azure ML, MLflow
Databases: PostgreSQL, MongoDB, Cassandra, Elasticsearch
Statistics: Hypothesis Testing, Bayesian Statistics, A/B Testing, Time Series

EXPERIENCE
Data Scientist | 2 years years total experience
- Built NLP pipeline for sentiment analysis achieving 94% accuracy using BERT fine-tuning
- Developed recommendation system using collaborative filtering for 2M+ users
- Trained computer vision model for object detection (mAP: 0.89)
- Applied regression, classification, and clustering algorithms for business problems
- Built customer churn prediction model with F1 score of 0.87
- Performed feature engineering, dimensionality reduction (PCA, t-SNE)
- Deployed ML models to production using Docker and REST APIs
- Conducted A/B testing and statistical significance analysis

EDUCATION
MSc Data Science or BSc Statistics/Computer Science
Relevant coursework: Machine Learning, Deep Learning, Statistical Inference, Data Mining, NLP

CERTIFICATIONS
AWS Machine Learning Specialty
Google Professional Data Engineer
Deep Learning Specialization - Coursera"
Data Science,"PROFILE
Machine Learning Engineer with 5 years building production ML systems. Expert in Python, deep learning frameworks, and MLOps. End-to-end model development from research to deployment.

SKILLS
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Learning, Reinforcement Learning, Transfer Learning
NLP: Text Classification, Named Entity Recognition, Sentiment Analysis, Language Models, BERT, GPT, Transformers
Computer Vision: CNN, Object Detection, Image Segmentation, YOLO, ResNet
Frameworks: PyTorch, TensorFlow, scikit-learn, HuggingFace, FastAI, OpenCV
MLOps: MLflow, DVC, Kubeflow, Docker, Kubernetes, Airflow
Languages: Python, R, SQL
Statistics: Probability, Hypothesis Testing, Bayesian Methods, Regression Analysis

EXPERIENCE
ML Engineer | 5 years years experience
- Fine-tuned large language models (BERT, GPT) for domain-specific NLP tasks
- Built AutoML pipeline reducing model development time by 50%
- Deployed real-time ML models serving 100k predictions per day
- Implemented data preprocessing pipelines using Pandas and NumPy
- Applied ensemble methods (Random Forest, XGBoost, LightGBM) for tabular data
- Built time series forecasting models using LSTM and Prophet
- Created data visualizations and dashboards for stakeholder reporting

EDUCATION
MSc or BSc in Computer Science, Statistics, or Mathematics
Focus: Machine Learning, Artificial Intelligence, Data Analysis"
Data Science,"PROFILE
Machine Learning Engineer with 6 years building production ML systems. Expert in Python, deep learning frameworks, and MLOps. End-to-end model development from research to deployment.

SKILLS
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Learning, Reinforcement Learning, Transfer Learning
NLP: Text Classification, Named Entity Recognition, Sentiment Analysis, Language Models, BERT, GPT, Transformers
Computer Vision: CNN, Object Detection, Image Segmentation, YOLO, ResNet
Frameworks: PyTorch, TensorFlow, scikit-learn, HuggingFace, FastAI, OpenCV
MLOps: MLflow, DVC, Kubeflow, Docker, Kubernetes, Airflow
Languages: Python, R, SQL
Statistics: Probability, Hypothesis Testing, Bayesian Methods, Regression Analysis

EXPERIENCE
ML Engineer | 6 years years experience
- Fine-tuned large language models (BERT, GPT) for domain-specific NLP tasks
- Built AutoML pipeline reducing model development time by 50%
- Deployed real-time ML models serving 100k predictions per day
- Implemented data preprocessing pipelines using Pandas and NumPy
- Applied ensemble methods (Random Forest, XGBoost, LightGBM) for tabular data
- Built time series forecasting models using LSTM and Prophet
- Created data visualizations and dashboards for stakeholder reporting

EDUCATION
MSc or BSc in Computer Science, Statistics, or Mathematics
Focus: Machine Learning, Artificial Intelligence, Data Analysis"
Data Science,"SUMMARY
Data Scientist with 6 years of experience in machine learning, statistical modeling, and NLP. Proficient in Python, scikit-learn, TensorFlow, and PyTorch. Expertise in deep learning, computer vision, and natural language processing.

TECHNICAL SKILLS
Programming: Python, R, SQL, Scala
ML/DL Libraries: scikit-learn, TensorFlow, PyTorch, Keras, XGBoost, LightGBM, CatBoost
NLP: NLTK, spaCy, HuggingFace Transformers, BERT, GPT, Word2Vec, TF-IDF
Data Tools: Pandas, NumPy, Matplotlib, Seaborn, Plotly, Scipy
Big Data: Apache Spark, Hadoop, Hive, Kafka
Cloud: AWS SageMaker, GCP AI Platform, Azure ML, MLflow
Databases: PostgreSQL, MongoDB, Cassandra, Elasticsearch
Statistics: Hypothesis Testing, Bayesian Statistics, A/B Testing, Time Series

EXPERIENCE
Data Scientist | 6 years years total experience
- Built NLP pipeline for sentiment analysis achieving 94% accuracy using BERT fine-tuning
- Developed recommendation system using collaborative filtering for 2M+ users
- Trained computer vision model for object detection (mAP: 0.89)
- Applied regression, classification, and clustering algorithms for business problems
- Built customer churn prediction model with F1 score of 0.87
- Performed feature engineering, dimensionality reduction (PCA, t-SNE)
- Deployed ML models to production using Docker and REST APIs
- Conducted A/B testing and statistical significance analysis

EDUCATION
MSc Data Science or BSc Statistics/Computer Science
Relevant coursework: Machine Learning, Deep Learning, Statistical Inference, Data Mining, NLP

CERTIFICATIONS
AWS Machine Learning Specialty
Google Professional Data Engineer
Deep Learning Specialization - Coursera"
Data Science,"PROFILE
Machine Learning Engineer with 4 years building production ML systems. Expert in Python, deep learning frameworks, and MLOps. End-to-end model development from research to deployment.

SKILLS
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Learning, Reinforcement Learning, Transfer Learning
NLP: Text Classification, Named Entity Recognition, Sentiment Analysis, Language Models, BERT, GPT, Transformers
Computer Vision: CNN, Object Detection, Image Segmentation, YOLO, ResNet
Frameworks: PyTorch, TensorFlow, scikit-learn, HuggingFace, FastAI, OpenCV
MLOps: MLflow, DVC, Kubeflow, Docker, Kubernetes, Airflow
Languages: Python, R, SQL
Statistics: Probability, Hypothesis Testing, Bayesian Methods, Regression Analysis

EXPERIENCE
ML Engineer | 4 years years experience
- Fine-tuned large language models (BERT, GPT) for domain-specific NLP tasks
- Built AutoML pipeline reducing model development time by 50%
- Deployed real-time ML models serving 100k predictions per day
- Implemented data preprocessing pipelines using Pandas and NumPy
- Applied ensemble methods (Random Forest, XGBoost, LightGBM) for tabular data
- Built time series forecasting models using LSTM and Prophet
- Created data visualizations and dashboards for stakeholder reporting

EDUCATION
MSc or BSc in Computer Science, Statistics, or Mathematics
Focus: Machine Learning, Artificial Intelligence, Data Analysis"
Data Science,"PROFILE
Machine Learning Engineer with 2 years building production ML systems. Expert in Python, deep learning frameworks, and MLOps. End-to-end model development from research to deployment.

SKILLS
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Learning, Reinforcement Learning, Transfer Learning
NLP: Text Classification, Named Entity Recognition, Sentiment Analysis, Language Models, BERT, GPT, Transformers
Computer Vision: CNN, Object Detection, Image Segmentation, YOLO, ResNet
Frameworks: PyTorch, TensorFlow, scikit-learn, HuggingFace, FastAI, OpenCV
MLOps: MLflow, DVC, Kubeflow, Docker, Kubernetes, Airflow
Languages: Python, R, SQL
Statistics: Probability, Hypothesis Testing, Bayesian Methods, Regression Analysis

EXPERIENCE
ML Engineer | 2 years years experience
- Fine-tuned large language models (BERT, GPT) for domain-specific NLP tasks
- Built AutoML pipeline reducing model development time by 50%
- Deployed real-time ML models serving 100k predictions per day
- Implemented data preprocessing pipelines using Pandas and NumPy
- Applied ensemble methods (Random Forest, XGBoost, LightGBM) for tabular data
- Built time series forecasting models using LSTM and Prophet
- Created data visualizations and dashboards for stakeholder reporting

EDUCATION
MSc or BSc in Computer Science, Statistics, or Mathematics
Focus: Machine Learning, Artificial Intelligence, Data Analysis"
